ISO,Sum of Tree Cover Loss 2010-2020,Sum of Tree Cover Gain 2010-2020
MAR,20897.15123,64858.06858
ABW,0.450955809,13.97855359
AFG,323.6885781,8597.783519
AGO,2242351.533,629034.211
AIA,6.220048641,47.70947954
ALA,8443.487947,851.4273721
ALB,17994.06302,10695.99136
AND,71.06728945,67.05823188
ARE,0,541.7426289
ARG,3168798.782,672280.6819
ARM,712.745151,8683.503505
ATF,6.334069089,
ATG,421.2314191,245.4529249
AUS,6291853.037,871785.1261
AUT,193016.5529,14040.88166
AZE,2014.384582,23762.04188
BDI,19116.2727,6822.015474
BEL,56800.82049,16946.3076
BEN,15747.74811,98764.57723
BES,32.20546105,229.818344
BFA,22.3513647,90663.72011
BGD,157365.2141,141914.4451
BGR,68309.11018,49951.61878
BHS,16967.78112,4037.4881
BIH,18653.70884,23456.8163
BLM,1.172847324,2.272182525
BLR,617002.9387,400222.7681
BLZ,186420.8858,7498.121397
BMU,3.917637408,
BOL,4175849.333,321185.422
BRA,33225225.35,4368822.103
BRB,290.1242358,203.941387
BRN,16956.86497,1607.067305
BTN,15955.21256,11498.9981
BWA,103.7638706,12119.28049
CAF,544498.142,115452.9894
CAN,25153538.79,6811819.732
CHE,23064.82123,7180.117347
CHL,1248071.05,332779.0971
CHN,6147401.504,3530495.188
CIV,2382436.273,306973.6427
CMR,1231654.561,78734.89751
COD,11815031,594230.4015
COG,659713.7745,43786.60011
COL,2756601.246,600387.5353
COM,5171.730891,7.160464745
CPV,108.6902367,
CRI,124038.2125,21601.35764
CUB,239828.4877,112403.1746
CUW,28.06644026,162.1537028
CYM,320.0878446,188.7325721
CYP,1419.316794,2092.828428
CZE,343032.4,27675.58051
DEU,592840.4618,145730.1432
DMA,24518.44938,33.40208411
DNK,46483.80149,38319.69546
DOM,188755.1657,30802.03723
DZA,123113.0408,66274.77358
ECU,500047.2212,89529.20854
EGY,1080.244286,3995.661642
ERI,0,9643.11797
ESP,878190.5127,205179.3726
EST,330418.5079,53888.11551
ETH,268574.174,230321.3083
FIN,2386066.622,294899.5646
FJI,28700.40239,1068.305472
FRA,744915.0975,256900.9097
FSM,76.66233752,
GAB,313149.8715,15129.47509
GBR,299083.3811,217865.6597
GEO,3659.856279,53897.53564
GGY,3.626376763,60.85701268
GHA,962092.3133,100317.2434
GIB,0.124835859,0.998737673
GIN,1511482.646,72621.07011
GLP,1289.127933,840.1916929
GMB,184.0487059,8250.949065
GNB,138601.2655,8233.34329
GNQ,96925.8974,657.4755946
GRC,75879.3564,43361.71401
GRD,592.2814235,24.22713351
GTM,873672.9161,143484.8777
GUF,47315.54865,3366.819261
GUY,159730.6004,5624.61089
HND,835553.9789,59280.65048
HRV,53183.00572,22805.13276
HTI,54143.84716,9709.571852
HUN,134563.9819,89013.50554
IDN,16943322.67,1859042.417
IMN,477.278159,700.4247367
IND,1251490.225,1060900.993
IRL,68228.14418,117943.4573
IRN,1336.473139,36353.77727
IRQ,31.40109746,6438.02108
ISR,1727.750388,3467.769521
ITA,283812.7066,106583.8082
JAM,25308.94564,2776.264234
JEY,39.58662781,128.0324811
JOR,3.198948825,768.6856406
JPN,452479.0856,65797.30794
KAZ,21880.89403,51745.4021
KEN,194543.0462,63339.6985
KGZ,610.2091669,50753.27422
KHM,1811976.16,75088.62105
KNA,87.69046392,277.7326834
KOR,188350.7456,33215.55791
LAO,2933448.819,33296.85484
LBN,2591.103997,4252.583582
LBR,1601208.877,5929.293086
LBY,126.5638318,1206.62342
LCA,600.0287557,60.39322841
LIE,43.63527295,29.47461133
LKA,129342.215,23117.79617
LSO,88.31614638,2166.389393
LTU,225315.0308,91486.94554
LUX,5432.58208,988.5388344
LVA,465149.3783,97464.18856
MAF,22.84815536,14.9382883
MDA,8178.071566,20866.02581
MDG,3171818.591,86924.54673
MDV,23.25804135,31.49006502
MEX,2581771.377,735239.5954
MKD,18902.28304,7446.881355
MLI,2378.087062,122266.4095
MLT,2.753484364,10.51589457
MMR,3006282.47,285795.2887
MNE,11655.33041,5773.520066
MNG,97136.47702,45786.25351
MOZ,2279531.872,278156.3386
MRT,0,639.6817372
MSR,141.9034646,201.5158127
MTQ,1190.068537,309.7256413
MUS,1414.07953,
MWI,137005.5464,18577.76394
MYS,5107604.918,220555.7318
MYT,2063.464079,22.2154939
NAM,151.9221174,14156.09046
NCL,17346.91948,458.4466686
NER,0.074763426,5234.954183
NGA,823797.1153,409694.3864
NIC,1059118.141,58187.79842
NLD,16203.28384,29900.64544
NOR,522067.1763,170287.4482
NPL,22170.33696,83213.25858
NZL,773346.2655,117299.4884
OMN,0,1357.450697
PAK,1864.054069,85480.77045
PAN,232173.6265,35253.22004
PER,2379743.943,211298.3942
PHL,864400.1789,70143.86259
PLW,235.3878796,14.87830844
PNG,1125221.107,81287.29644
POL,748705.8409,356096.3629
PRI,64180.75278,3548.86169
PRK,137899.4921,145743.2098
PRT,756457.7001,100879.7786
PRY,3848169.916,420057.5002
PSE,7.988973644,1413.096264
REU,3982.647393,
ROU,209611.4491,108762.8783
RUS,47089515.46,14424176.85
RWA,27549.88118,6025.214527
SAU,0,6309.168139
SDN,523.999026,163108.7387
SEN,3333.439817,34593.96849
SGP,1741.477832,752.2583919
SLB,149193.9123,1170.291931
SLE,1552384.239,24414.43378
SLV,33061.86767,7730.785889
SMR,1.728562419,12.59989532
SOM,1987.772584,3467.127422
SPM,12.83105649,52.96996261
SRB,39314.22779,35195.11353
SSD,53384.77007,641618.5429
SUR,156517.626,7950.998892
SVK,136669.6543,12350.35013
SVN,36620.48212,3325.150187
SWE,2964638.25,457549.0742
SWZ,44011.39377,14095.21362
SXM,10.69334093,12.74480378
SYC,4.70712405,1.062420867
SYR,19465.83625,3946.684418
TCA,263.2856306,55.10925367
TCD,37508.42151,134201.5612
TGO,37806.66802,26511.27141
THA,1437573.842,914018.8092
TJK,59.86830416,16524.59728
TKM,35.77145121,353.109124
TLS,14422.9142,4113.738102
TTO,12047.86212,1851.372609
TUN,22118.74128,6043.81568
TUR,321315.0823,290520.7656
TWN,19026.79092,15046.49001
TZA,1770802.571,286796.3884
UGA,692531.0304,116002.0763
UKR,693780.8622,437240.0115
UMI,10.59913707,4.458698645
URY,232288.3687,400559.7606
USA,22302424.92,4601064.871
UZB,251.5132054,36160.14306
VCT,229.3847822,76.51524989
VEN,1274842.275,302557.2728
VGB,262.8337474,15.71124136
VIR,1361.192011,108.7579049
VNM,2344034.084,456100.9267
VUT,13329.35926,56.40638895
XAD,45.12989903,57.56025921
XKO,8803.95746,4989.288249
Z01,1047.713308,32642.08044
Z06,75.68245926,9965.641869
Z07,74506.26252,19085.17257
ZAF,782121.086,210166.5408
ZMB,1383172.518,324601.1078
ZNC,349.0703775,2067.066183
ZWE,122013.0681,94476.63791
